"Facility Name","NPDES ID","City","State","CWNS","Amount of Biosolids Generated","Management Practice Type(s)","Amount of Biosolids Managed - Land Applied","Amount of Biosolids Managed - Surface Disposal","Amount of Biosolids Managed - Incinerated","Amount of Biosolids Managed - Other Management Practice","Pathogen Class(es)"
"CITY OF ALEDO WWTP","TX0027120","ALEDO","TX","48004227001","4.8","Other Management Practice","","","","4.4","Not Applicable"
"HARRIS CO. WCID 21 WWTP","TX0022756","CHANNELVIEW","TX","48007099001","392.6211","Land Application","392.6211","","","","Class B"
"LONDONDERRY WWTP","TX0058530","HOUSTON","TX","48007536001","92.636","Other Management Practice","","","","92.636","Class B"
"ZACATE CREEK WWTP","TX0025461","LAREDO","TX","48001125001","3154.4","Other Management Practice","","","","3154.4","Not Applicable"
"GARWOOD FACILITIES WWTP","TX0023329","GARWOOD","TX","48008137001","0","Other Management Practice","","","","","Not Applicable"
"CITY OF LEFORS WWTP","TX0022586","LEFORS","TX","48000125001","40","Other Management Practice","","","","40","Not Applicable"
"N LAREDO WWTP","TX0057801","LAREDO","TX","48001125003","374.8","Other Management Practice","","","","374.8","Not Applicable"
"CITY OF CORRIGAN WWTP","TX0133787","CORRIGAN","TX","48006046001","104.6","Other Management Practice","","","","104.6","Class B"
"NW HARRIS COUNTY MUD 36 WWTF","TX0108120","HOUSTON","TX","48001244001","22.96","Other Management Practice","","","","22.96","Not Applicable"
"SOUTH LAREDO WWTP","TX0085316","LAREDO","TX","48001125002","2596.9","Other Management Practice","","","","2596.9","Not Applicable"
"CITY OF PALACIOS WWTP","TX0023051","PALACIOS","TX","48001240001","54.83","Other Management Practice","","","","54.83","Not Applicable"
"CITY OF POTEET WWTF","TX0032387","POTEET","TX","48008032001","98.2","Other Management Practice","","","","98.2","Not Applicable"
"UNITEC WWTP","TX0126926","LAREDO","TX","48001125005","51.7","Other Management Practice","","","","51.7","Not Applicable"
"RICHMOND REGIONAL WWTP","TX0115177","RICHMOND","TX","48007020002","370.17","Land Application","370.17","","","","Class B"
"TEN MILE CREEK PLANT","TX0022811","ARLINGTON","TX","48000004002","3245.25","Other Management Practice","","","","3245.25","Not Applicable"
"MONTGOMERY COUNTY WCID 1 WWTP","TX0025399","THE WOODLANDS","TX","48007139001","106.03","Other Management Practice","","","","106.03","Class B"
"RANKIN ROAD WEST MUD WWTP","TX0097047","HOUSTON","TX","48007209001","24.99","Other Management Practice","","","","24.99","Class B"
"CITY OF DEVINE WWTP","TX0102032","DEVINE","TX","48008057001","197.1","Other Management Practice","","","","197.1","Class A"
"CITY OF MANVEL WWTP","TX0118397","MANVEL","TX","48007429001","65.96","Other Management Practice","","","","65.96","Class B"
"NEW CANEY MUD WWTP","TX0084638","NEW CANEY","TX","48007817001","70.91","Other Management Practice","","","","70.91","Class B"
"PORTER MUD WWTP","TX0084042","PORTER","TX","48007818001","70.9","Other Management Practice","","","","70.9","Class B"
"CITY OF GRAFORD WWTP","TX0104752","GRAFORD","TX","48004213001","0","Other Management Practice","","","","","Not Applicable"
"CITY OF CALVERT WWTP","TX0054020","CALVERT","TX","48003066001","1.9096244","Other Management Practice","","","","","Not Applicable"
"CITY OF CORSICANA - WWTP  2","TX0056731","CORSICANA","TX","48004141001","285.3","Other Management Practice","","","","285.3","Class A"
"CITY OF WILLIS WWTP","TX0068845","WILLIS","TX","48007062001","472.66","Other Management Practice","","","","472.66","Class B"
"LEON PLANT WWTP","TX0024953","GATESVILLE","TX","48003013001","800","Land Application","342.07","","","","Class B"
"ASHERTON WWTP","TX0071056","ASHERTON","TX","48001137001","48.46","Other Management Practice","","","","48.46","Not Applicable"
"VILLAGE CREEK WWTF","TX0047295","FORT WORTH","TX","48004122001","27500","Land Application, Other Management Practice","26705","","","795","Class A, Not Applicable, Class A EQ"
"DENTON CREEK REGIONAL WWTF","TX0104957","ARLINGTON","TX","48000004007","2535.33","Other Management Practice","","","","2535.33","Not Applicable"
"CITY OF HITCHCOCK - WWTP","TX0062243","HITCHCOCK","TX","48007028001","286.5","Other Management Practice","","","","286.5","Class B"
"RANGER WWTP","TX0118702","RANGER","TX","48003109001","22.7","Other Management Practice","","","","22.7","Not Applicable"
"INTERCONTINENTAL AIRPORT WWTP","TX0034916","HOUSTON","TX","48007039018","163.24","Other Management Practice","","","","163.24","Not Applicable"
"WEATHERFORD FACILITY","TX0047724","WEATHERFORD","TX","48004143001","794","Other Management Practice","","","","794","Not Applicable"
"CITY OF SOMERVILLE WWTF","TX0055492","SOMMERVILLE","TX","48003115001","0","Other Management Practice","","","","","Not Applicable"
"CLINTON PARK WWTP","TX0035106","HOUSTON","TX","48007039006","96.01","Other Management Practice","","","","96.01","Not Applicable"
"MAURICEVILLE MUD WWTP","TX0114839","MAURICEVILLE","TX","48009508001","0","Other Management Practice","","","","","Not Applicable"
"CITY OF POINT COMFORT WWTP","TX0023167","POINT COMFORT","TX","48001239001","2.2","Surface Disposal","","2.2","","","Class B"
"HARRIS COUNTY WCID 89 WWTP","TX0095842","BELLAIRE","TX","48007925001","163.27","Other Management Practice","","","","163.27","Class B"
"PROGRESO WWTF","TX0104612","PROGRESO","TX","48001135001","41.69","Other Management Practice","","","","41.69","Not Applicable"
"NORTHGATE WWTP","TX0055310","HOUSTON","TX","48007039066","356.29","Other Management Practice","","","","356.29","Not Applicable"
"CITY OF HICO WWTP","TX0026590","HICO","TX","48003052001","195","Other Management Practice","","","","195","Not Applicable"
"CITY OF FLATONIA WWTP","TX0023183","FLATONIA","TX","48008062001","0","Other Management Practice","","","","","Not Applicable"
"SAN LEON WWTF","TX0071978","SAN LEON","TX","48007488001","5.6","Other Management Practice","","","","5.6","Class B"
"BISSONETT MUD","TX0056952","HOUSTON","TX","48007499001","149.76","Other Management Practice","","","","149.76","Not Applicable"
"EAST BASTROP WWTF","TX0032671","BASTROP","TX","48008041001","581","Other Management Practice","","","","581.14","Not Applicable"
"CITY OF HOUSTON","TX0063011","HOUSTON","TX","48007039022","3032.3","Other Management Practice","","","","3032.3","Not Applicable"
"WHARTON COUNTY WCID 1 WWTP","TX0027456","LOUISE","TX","48001402001","9","Other Management Practice","","","","9","Not Applicable"
"CITY OF WILLOW PARK  WWTP","TX0099732","WILLOW PARK","TX","48004233001","641.31","Other Management Practice","","","","641.31","Not Applicable"
"WALNUT CREEK WWTP","TX0046981","AUSTIN","TX","48003033002","13193","Other Management Practice","","","","13193","Class A"
"SOUTH AUSTIN REGIONAL WWTF","TX0071889","AUSTIN","TX","48003033005","13247.74","Other Management Practice","","","","13247.74","Class A"
"POINT EAST PLANT WWTF","TX0071579","POINT","TX","48005092001","0","Other Management Practice","","","","","Not Applicable"
"DESSAU WWTF","TX0097870","AUSTIN","TX","48003033016","162.64","Other Management Practice","","","","162.64","Class A"
"TURKEY CREEK WWTF","TX0035017","HOUSTON","TX","48007039081","264.65","Other Management Practice","","","","264.65","Not Applicable"
"POINT WEST WWTF","TX0071544","POINT","TX","48005092002","0","Other Management Practice","","","","","Not Applicable"
"SOUTHWEST WWTP","TX0062995","HOUSTON","TX","48007039026","3515.15","Other Management Practice","","","","3515.15","Not Applicable"
"CLUTE-RICHWOOD WWTP","TX0034436","CLUTE","TX","48007006001","169.14","Other Management Practice","","","","169.14","Class B"
"WEST DISTRICT WWTF","TX0063002","HOUSTON","TX","48007039043","1667.19","Other Management Practice","","","","1667.19","Not Applicable"
"WHITE OAK WWTP","TX0057347","HOUSTON","TX","48007039065","501.67","Other Management Practice","","","","501.67","Not Applicable"
"WESTLAKE MUD 1 WWTP","TX0053091","HOUSTON","TX","48007768001","41.58","Land Application","41.58","","","","Class B"
"SUGAR LAND NORTH WWTP","TX0058114","SUGAR LAND","TX","48007022001","842.09","Other Management Practice","","","","841.94","Class B"
"EMORY WWTP","TX0026328","EMORY","TX","48005068001","0","Other Management Practice","","","","","Not Applicable"
"CITY OF HOUSTON","TX0062201","HOUSTON","TX","48007039002","4645.89","Other Management Practice","","","","4645.89","Not Applicable"
"CITY OF LA VERNIA WWTP","TX0052850","LA VERNIA","TX","48008191001","36.98","Other Management Practice","","","","36.98","Not Applicable, Class A"
"ALMEDA SIMS WWTF","TX0034924","HOUSTON","TX","48007039003","5593.51","Other Management Practice","","","","5593.52","Not Applicable, Class A"
"SUGAR LAND SOUTH WWTP","TX0096881","SUGAR LAND","TX","48007022002","656.22","Other Management Practice","","","","656.22","Class B"
"CITY OF LOCKHART WWTF 1","TX0023868","LOCKHART","TX","48008071001","103.02","Other Management Practice","","","","103.02","Not Applicable"
"CNP UD - WWTP","TX0055166","HOUSTON","TX","48007871001","143.27","Other Management Practice","","","","143.27","Not Applicable"
"TRAIL OF THE LAKES WWTF","TX0074021","HOUSTON","TX","48007753001","185.03","Other Management Practice","","","","185.03","Class B"
"MINERAL CREEK WWTP","TX0023566","WHITESBORO","TX","48004088001","66.09","Other Management Practice","","","","66.09","Not Applicable"
"GREENWOOD UD - WWTP","TX0020800","HOUSTON","TX","48007530001","120.75","Other Management Practice","","","","120.75","Not Applicable"
"FORT BEND CO MUD 25","TX0077178","SUGAR LAND","TX","48007459001","912.3","Other Management Practice","","","","912.3","Class B"
"WILD HORSE RANCH WWTP","TX0124800","AUSTIN","TX","48003033014","159.44","Other Management Practice","","","","159.44","Class A"
"GALVESTON COUNTY MUD 12 WWTP","TX0020311","BAYOU VISTA","TX","48007083001","30.24","Other Management Practice","","","","30.24","Class B"
"DUNLAP WWTF","TX0025208","SEGUIN","TX","48000005007","154.53","Land Application","154.53","","","","Class B"
"ONALASKA WWTP","TX0078841","ONALASKA","TX","48000004003","0","Other Management Practice","","","","","Not Applicable"
"CITY OF BIG SPRING WATER RECLAMATION PLANT WWTP","TX0047023","BIG SPRING","TX","48002015001","380","Other Management Practice","","","","378.14","Not Applicable"
"HILLEBRANDT WWTP","TX0046990","BEAUMONT","TX","48006001001","3529.8","Other Management Practice","","","","3529.8","Not Applicable"
"CITY OF WAELDER WWTP","TX0034452","WAELDER","TX","48008040001","0","Other Management Practice","","","","","Not Applicable"
"SPARKS BRANCH WWTP","TX0025437","PITTSBURG","TX","48005090001","43.2","Other Management Practice","","","","43.2","Not Applicable"
"CITY OF SHENANDOAH WWTP","TX0093564","SHENANDOAH","TX","48007826003","139.47","Other Management Practice","","","","139.47","Class B"
"SAN FELIPE WWTF","TX0047198","DEL RIO","TX","48001008001","54.6","Other Management Practice","","","","54.6","Not Applicable"
"KIRBY CREEK WWTP","TX0074888","AUSTIN","TX","48000017006","9.96","Other Management Practice","","","","9.96","Not Applicable"
"CITY OF BUDA WWTF","TX0057436","BUDA","TX","48008052001","420.23","Other Management Practice","","","","420.23","Not Applicable"
"CITY OF BRAZORIA WWTP","TX0025615","BRAZORIA","TX","48007004001","114.94","Other Management Practice","","","","114.94","Not Applicable"
"HARRIS COUNTY MUD 23 WWTP","TX0062235","HOUSTON","TX","48007189001","65.76","Other Management Practice","","","","65.76","Class B"
"LANGHAM CREEK UD - WWTP","TX0064734","HOUSTON","TX","48007676001","103.147","Other Management Practice","","","","103.144","Class B"
"CITY OF WEBSTER CENTRAL WWTF","TX0024589","WEBSTER","TX","48007055001","1395.96","Other Management Practice","","","","1395.96","Class B"
"CITY OF MART WWTP","TX0026051","MART","TX","48003025001","7.17","Other Management Practice","","","","7.17","Not Applicable"
"CANYON PARK ESTATES WWTP","TX0025224","SEGUIN","TX","48000005005","25.17","Land Application, Other Management Practice","19.76","","","5.41","Class B, Not Applicable"
"CITY OF MERKEL WWTF","TX0111341","MERKEL","TX","48002025001","0","Other Management Practice","","","","","Not Applicable"
"BANQUETE WWTF","TX0137197","BANQUETE","TX","48001225001","22.36","Other Management Practice","","","","","Not Applicable"
"PLANTATION MUD","TX0076554","HOUSTON","TX","48007868001","18.66","Other Management Practice","","","","18.66","Class B"
"BRAZORIA COUNTY MUD 3 WWTP","TX0086118","HOUSTON","TX","48007242001","188.8","Other Management Practice, Land Application","38.49","","","150.31","Class B"
"NW HARRIS COUNTY MUD 16 WWTP","TX0075981","HOUSTON","TX","48007544001","74.43","Other Management Practice","","","","74.43","Class B"
"SOUTHSIDE WWTF","TX0047988","TYLER","TX","48005015002","2326","Other Management Practice","","","","2326","Not Applicable"
"LAKESIDE VILLAGE","TX0063509","LIVINGSTON","TX","48004364001","2.27","Other Management Practice","","","","2.27","Class B"
"CITY OF GOODRICH WWTP","TX0087963","GOODRICH","TX","48006072001","0","Other Management Practice","","","","","Not Applicable"
"NORTH ALAMO WSC REGIONAL WWTP","TX0140490","EDINBURG","TX","48002014006","18.86","Land Application","18.86","","","","Class A"
"THE WOODLANDS WWTF 1","TX0054186","THE WOODLANDS","TX","48007848001","649.83","Other Management Practice","","","","649.83","Not Applicable"
"THE WOODLANDS WWTP  2","TX0091715","THE WOODLANDS","TX","48007848002","584.72","Other Management Practice","","","","584.72","Not Applicable"
"POST OAK WWTP","TX0024325","SHERMAN","TX","48004083001","714.196","Other Management Practice","","","","709.611","Class B"
"NEW VINCE BAYOU WWTP","TX0117528","PASADENA","TX","48007048006","1491.16","Other Management Practice","","","","1491.16","Class B"
"ADDICKS UD WWTP","TX0112585","HOUSTON","TX","48007490001","79.37","Other Management Practice","","","","79.37","Not Applicable"
"CITY OF FULSHEAR  WWTP","TX0101052","FULSHEAR","TX","48007465001","96","Other Management Practice","","","","96","Not Applicable"
"SILVER LAKE WWTF","TX0053830","DEL RIO","TX","48001008002","32.2","Other Management Practice","","","","32.2","Not Applicable"
"SOUTHSIDE WWTP","TX0025895","CROCKETT","TX","48006047002","0","Other Management Practice","","","","","Not Applicable"
"KINGS MANOR MUD WWTP","TX0105996","HOUSTON","TX","48007776001","38.46","Other Management Practice","","","","38.46","Not Applicable"
"FAR HILLS UTILITY DISTRICT WWT","TX0129526","HOUSTON","TX","48007792001","13.56","Other Management Practice","","","","13.56","Class B"
"CITY OF KENDLETON  WWTP","TX0098949","KENDLETON","TX","48007094001","13.61","Other Management Practice","","","","13.61","Class B"
"BOYD PRISON UNIT WWTP","TX0110035","FAIRFIELD","TX","48009505001","23.23","Other Management Practice","","","","23.23","Class A"
"CITY OF MARSHALL  SOUTHSIDE PLANT","TX0021784","MARSHALL","TX","48005020002","238.69","Other Management Practice","","","","238.69","Class B"
"CITY OF CLIFTON WWTF","TX0033936","CLIFTON","TX","48003070001","70.6","Other Management Practice","","","","70.6","Not Applicable"
"FONDREN ROAD WWTF","TX0020052","HOUSTON","TX","48007098001","74.94","Other Management Practice","","","","74.94","Class B"
"PALMER PLANTATION MUD 1 REGIONAL WWTP","TX0090484","HOUSTON","TX","48007225001","88.44","Other Management Practice","","","","88.44","Class B"
"MUSTANG BAYOU WWTF","TX0093068","MISSOURI CITY","TX","48007224001","180.858","Other Management Practice","","","","180.858","Class B"
"HARRIS CO MUD 216 WWTF","TX0092584","HOUSTON","TX","48001047001","85.14","Other Management Practice","","","","85.14","Class B"
"HARRIS COUNTY MUD 180","TX0079529","BELLAIRE","TX","48007053001","91.2","Other Management Practice","","","","91.2","Class B"
"WESTSIDE WWTF","TX0047996","TYLER","TX","48005015001","2084","Other Management Practice","","","","2084","Not Applicable"
"BRAZORIA COUNTY MUD 21 WWTP","TX0123633","HOUSTON","TX","48001730001","211.481733","Land Application","211.481733","","","","Class B"
"CANEY CREEK MUD OF MATAGORDA COUNTY","TX0122483","SARGENT","TX","48001405001","7.58","Other Management Practice","","","","7.58","Not Applicable"
"MOUNT HOUSTON RD MUD WWTP","TX0023515","HOUSTON","TX","48007694001","4145","Other Management Practice","","","","4145","Class B"
"EL DORADO UD - WWTP","TX0025623","HOUSTON","TX","48007519001","29.7027452","Other Management Practice, Land Application","13.07274515","","","16.63","Class B"
"GALVESTON COUNTY FWSD 6 WWTP","TX0020079","TIKI ISLAND","TX","48007081001","6.84024686","Land Application","6.84024686","","","","Class B"
"GROVETON WWTP","TX0076104","GROVETON","TX","48006049001","0.76","Other Management Practice","","","","0.76","Not Applicable"
"HARRIS COUNTY MUD  221 WWTP","TX0089184","HOUSTON","TX","48007185001","337.19","Other Management Practice","","","","337.19","Not Applicable"
"HARRIS COUNTY MUD 5 WWTP","TX0026344","HOUSTON","TX","48007540001","138.36","Other Management Practice","","","","138.36","Not Applicable"
"ROLLING CREEK UD WWTP","TX0097373","HOUSTON","TX","48071253001","82.39","Other Management Practice","","","","82.38","Not Applicable"
"VALLEY VIEW WWTF","TX0087343","VALLEY VIEW","TX","48004261001","12","Other Management Practice","","","","12","Class B"
"ROYALWOOD MUD WWTP","TX0062952","HOUSTON","TX","48007731001","10.58","Other Management Practice","","","","10.58","Class B"
"CITY OF EDINBURG WWTP","TX0024112","EDINBURG","TX","48001114001","7685","Land Application","18.1","","","","Class B"
"BRUSHY CREEK REGIONAL EAST WWTF","TX0101940","ROUND ROCK","TX","48003111003","4835.15","Other Management Practice","","","","4835.15","Not Applicable"
"POINT AQUARIUS MUD WWTP","TX0022071","HOUSTON","TX","48007851001","0","Other Management Practice","","","","","Not Applicable"
"RENN ROAD MUD WWTP","TX0078964","HOUSTON","TX","48007725001","219.92","Other Management Practice","","","","219.92","Not Applicable"
"DILLEY WWTP","TX0137936","DILLEY","TX","48001129001","43.93","Other Management Practice","","","","43.93","Not Applicable"
"CARTER CREEK WWTP","TX0047163","COLLEGE STATION","TX","48003041001","1280.64","Other Management Practice","","","","1280.64","Not Applicable"
"HASKELL R STREET WWTF","TX0026751","EL PASO","TX","48001009001","3100","Surface Disposal","","3100","","","Class B"
"CITY OF BOYD WWTP","TX0022632","BOYD","TX","48004205001","273.6","Other Management Practice","","","","273.6","Not Applicable"
"ROBERTO R BUSTAMANTE WWTP","TX0101605","EL PASO","TX","48001009008","5596","Surface Disposal","","5596","","","Class B"
"HARRIS COUNTY MUD 170 REGIONAL WWTP","TX0079146","HOUSTON","TX","48007156001","131.7","Land Application","131.7","","","","Class B"
"CITY OF TRENTON WWTP","TX0134244","TRENTON","TX","48005099001","0","Other Management Practice","","","","36.48","Not Applicable"
"LICK CREEK WWTP","TX0093262","COLLEGE STATION","TX","48003041002","389.52","Other Management Practice","","","","389.52","Not Applicable"
"HARRIS COUNTY MUD 286 WWTF","TX0096920","HOUSTON","TX","48009517001","15.87","Other Management Practice","","","","15.87","Class B"
"OYSTER CREEK WWTP","TX0072591","OYSTER CREEK","TX","48007304001","379.08","Land Application","379.08","","","","Class B"
"MONTGOMERY COUNTY MUD 83 WWTP","TX0126209","HOUSTON","TX","48007039078","81.63","Other Management Practice","","","","81.63","Not Applicable"
"HARRIS COUNTY WCID 84 WWTP","TX0034428","HOUSTON","TX","48007643001","81.43","Other Management Practice","","","","81.43","Not Applicable"
"CITY OF MAUD WWTP","TX0117498","MAUD","TX","48005003001","5.4","Other Management Practice","","","","5.4","Not Applicable"
"HENRIETTA NORTH WWTP","TX0022306","HENRIETTA","TX","48004215001","9.84","Other Management Practice","","","","9.84","Not Applicable"
"SOUTH WEST WWTP","TX0022314","HENRIETTA","TX","48004215002","22.39","Other Management Practice","","","","22.39","Not Applicable"
"KINGWOOD CENTRAL WWTP","TX0066583","HOUSTON","TX","48007632001","545.74","Other Management Practice","","","","545.74","Not Applicable"
"CEDAR BAYOU WWTF","TX0103667","HOUSTON","TX","48007401001","65.93","Other Management Practice","","","","65.93","Not Applicable"
"CITY OF ELECTRA WWTP","TX0026964","ELECTRA","TX","48004359001","0","Surface Disposal","","","","","Class B"
"CITY OF DAINGERFIELD WWTP","TX0027031","DAINGERFIELD","TX","48005060001","4.5","Other Management Practice","","","","4.5","Not Applicable"
"WESTSIDE WWTP","TX0114821","LA MARQUE","TX","48007030001","187.39","Surface Disposal","","187.39","","","Class B"
"CLOVER CREEK MUD  WWTP","TX0097969","HOUSTON","TX","48003227001","19.4381116","Land Application","19.4381116","","","","Class B"
"NORTH PLANT WWTP","TX0023728","SILSBEE","TX","48006024002","3.62","Other Management Practice","","","","3.62","Not Applicable"
"AUBREY WWTF","TX0056588","AUBREY","TX","48004046001","37.77","Other Management Practice","","","","22.93","Class A"
"DRY CREEK WWTF","TX0025445","PITTSBURG","TX","48005090002","0","Other Management Practice","","","","","Not Applicable"
"CITY OF SHINER WWTP","TX0026042","SHINER","TX","48008080001","799","Other Management Practice","","","","799","Not Applicable"
"MONTGOMERY COUNTY MUD 166 WWTP","TX0138851","HOUSTON","TX","48007179001","0","Other Management Practice","","","","","Not Applicable"
"HARRIS COUNTY MUD 285 WWTP","TX0095451","HOUSTON","TX","48001048001","156.5","Other Management Practice","","","","156.5","Not Applicable"
"HARRIS COUNTY MUD 360 WWTP","TX0113107","HOUSTON","TX","48001286001","32.61","Other Management Practice","","","","32.61","Not Applicable"
"WATERWOOD MUD 1 WWTP","TX0124150","HOUSTON","TX","48006157001","3.02","Other Management Practice","","","","3.02","Not Applicable"
"CITY OF MALAKOFF WWTP","TX0020559","MALAKOFF","TX","48005083001","15.39","Other Management Practice","","","","15.39","Not Applicable"
"WINDOM","MNL022217","WINDOM","MN","27003305001","184","Land Application","184","","","","Class B"
"EAGLE PASS WWTF","TX0107492","EAGLE PASS","TX","48001127001","654.8","Land Application","654.8","","","","Class B"
"WESTWOOD SHORES MUD WWTF","TX0027677","TRINITY","TX","48006165001","0","Other Management Practice","","","","","Not Applicable"
"HARRIS COUNTY MUD 82 WWTP","TX0071528","HOUSTON","TX","48007847001","205.27","Land Application","205.27","","","","Class B"
"LOLITA WWTF","TX0064998","LOLITA","TX","48001265001","6.05","Other Management Practice","","","","6.05","Class B"
"HARRIS COUNTY MUD 276 WWTP","TX0095532","HOUSTON","TX","48071219001","35.92","Other Management Practice","","","","35.92","Not Applicable"
"NORTHWEST HARRIS COUNTY MUD 24 WWTP","TX0092312","HOUSTON","TX","48007154001","40.06","Other Management Practice","","","","40.06","Not Applicable"
"LA WARD WWTF","TX0105104","LA WARD","TX","48001237001","1.51","Other Management Practice","","","","1.51","Class B"
"TORNILLO WWTF","TX0126772","TORNILLO","TX","48001042001","3328","Surface Disposal","","3328","","","Class B"
"CITY OF ITASCA WWTP","TX0023892","ITASCA","TX","48003056001","0","Other Management Practice","","","","","Not Applicable"
"PECAN GROVE MUD WWTP","TX0056421","HOUSTON","TX","48007473001","229.362936","Land Application","229.36293577","","","","Class B"
"CITY OF BOERNE WWTP","TX0024465","BOERNE","TX","48008048001","194.5","Other Management Practice","","","","194.5","Not Applicable"
"OYSTER CREEK WWTP","TX0056316","ANGLETON","TX","48007002001","172.75","Other Management Practice","","","","174.83","Not Applicable"
"CITY OF DALHART WWTP","TX0057207","DALHART","TX","48000134001","384.07","Other Management Practice","","","","384.07","Not Applicable"
"CITY OF PAMPA WWTP","TX0027618","PAMPA","TX","48000114001","147.64","Other Management Practice","","","","147.64","Not Applicable"
"CITY OF CHINA WWTF","TX0071650","CHINA","TX","48006012001","0.73","Other Management Practice","","","","0.73","Class B"
"SPRING WEST MUD WWTP","TX0090824","HOUSTON","TX","48071262001","77.86","Other Management Practice","","","","77.86","Class B"
"CITY OF ROSENBERG 1A WWTF","TX0098914","ROSENBERG","TX","48007021003","201.27","Land Application, Other Management Practice","186.9","","","14.37","Class B"
"HARRIS COUNTY WCID 99 WWTP","TX0046736","HOUSTON","TX","48007849001","18.73","Other Management Practice","","","","18.73","Not Applicable"
"CITY OF ROSENBERG WWTF 2","TX0024490","ROSENBURG","TX","48007021002","1416","Land Application","1416","","","","Class B"
"WEST HARRIS CO. MUD 17 WWTP","TX0084468","HOUSTON","TX","48007167001","32.65","Land Application","32.65","","","","Class B"
"CITY OF SUGAR LAND NEW TERRITORY NORTH REGIONAL WWTF","TX0111872","SUGAR LAND","TX","48009516001","161.13","Other Management Practice","","","","161.13","Class B"
"WEST HARRIS COUNTY MUD 4 WWTP","TX0079359","HOUSTON","TX","48007176001","15.766258","Land Application","15.76625801","","","","Class B"
"STEEP BANK FLAT BANK CREEK WWTP","TX0114855","MISSOURI CITY","TX","48001151004","446.09","Other Management Practice","","","","446.09","Class B"
"CITY OF EAGLE LAKE WWTF","TX0072885","EAGLE LAKE","TX","48008058001","18.1","Other Management Practice","","","","18.4","Not Applicable"
"CITY OF EL CAMPO WWTF","TX0021474","EL CAMPO","TX","48001233001","1169.742","Other Management Practice","","","","1169.742","Class B"
"CYPRESS HILL MUD 1 WWTP","TX0086011","HOUSTON","TX","48007208001","46.1","Other Management Practice","","","","46.1","Not Applicable"
"PANORAMA VILLAGE WASTEWATER TREATMENT FACILITY","TX0020206","PANORAMA VILLAGE","TX","48007135001","18.62","Other Management Practice","","","","18.62","Class B"
"EL PASO WATER UTILITIES NORTHWEST WWTP","TX0087149","EL PASO","TX","48001009007","682","Surface Disposal","","682","","","Class B"
"CITY OF HAMLIN  WWTP","TX0023159","HAMLIN","TX","48002027001","0","Other Management Practice","","","","","Not Applicable"
"CITY OF GLEN ROSE WWTP","TX0033316","GLEN ROSE","TX","48003047001","47.9","Other Management Practice","","","","47.9","Class B"
"CITY OF ALVIN WWTP","TX0024554","ALVIN","TX","48007001001","191.21","Other Management Practice","","","","191.21","Class B"
"CITY OF NASSAU BAY WWTP","TX0023833","NASSAU BAY","TX","48007142001","79.22","Other Management Practice","","","","79.22","Not Applicable"
"HUTTO WWTP","TX0025577","HUTTO","TX","48000017008","144.43","Other Management Practice","","","","144.43","Class B"
"HAYS CO WCID 1 WWTP","TX0128465","AUSTIN","TX","48001389001","121.08","Other Management Practice","","","","121.08","Not Applicable"
"KINGS CREEK WWTF","TX0022527","TERRELL","TX","48004105001","550.91","Other Management Practice","","","","550.91","Class A"
"PORT ISABEL WWTP","TX0023647","PORT ISABEL","TX","48001131001","37.5","Surface Disposal","","37.5","","","Class B"
"CITY OF NEEDVILLE WWTP","TX0027634","NEEDVILLE","TX","48007018001","21.5","Other Management Practice","","","","21.5","Class B"
"CITY OF FAYETTEVILLE WWTP","TX0055077","FAYETTEVILLE","TX","48008061001","3.25","Land Application","3.25","","","","Class A"
"ROBSTOWN WWTF","TX0020389","ROBSTOWN","TX","48001206001","255","Other Management Practice","","","","255","Class B"
"CRANDALL WWTP","TX0024929","CRANDALL","TX","48004099001","63.95","Other Management Practice","","","","63.95","Not Applicable"
"CITY OF MOODY WWTP","TX0024066","MOODY","TX","48003026001","18.83","Surface Disposal","","18.83","","","Class A"
"CITY OF NEW LONDON SOUTH WWTP","TX0087360","NEW LONDON","TX","48004054001","0","Other Management Practice","","","","","Not Applicable"
"CITY OF YORKTOWN WWTP","TX0054631","YORKTOWN","TX","48008036001","10.55","Other Management Practice","","","","10.55","Not Applicable"
"CITY OF QUINLAN WWTF","TX0022331","QUINLAN","TX","48005093001","28.83","Other Management Practice","","","","28.83","Not Applicable"
"BELL COUNTY WCID 3  WWTP","TX0069191","NOLANVILLE","TX","48003006001","2101","Other Management Practice","","","","2101","Class A"
"CITY OF ROCKPORT WWTP","TX0022152","ROCKPORT","TX","48001242001","158.2","Land Application","158.2","","","","Class A"
"CITY OF RAYMONDVILLE WWTP","TX0024546","RAYMONDVILLE","TX","48001146001","55.4","Other Management Practice","","","","55.4","Not Applicable"
"NW HARRIS CO MUD#'S 21-23 WWTP","TX0079821","HOUSTON","TX","48007875001","69.73","Other Management Practice","","","","69.73","Class B"
"GALVESTON COUNTY WCID 8","TX0023671","SANTA FE","TX","48007023002","85.572","Other Management Practice, Land Application","9.842","","","75.73","Not Applicable, Class B"
"NORTHGATE CROSSING MUD 2 WWTF","TX0119181","HOUSTON","TX","48071241001","59.72","Other Management Practice","","","","59.72","Class B"
"WEST ORANGE WWTP","TX0054810","ORANGE","TX","48006019001","45.7","Other Management Practice","","","","45.7","Class B"
"ISLA BLANCA WWTP","TX0023639","PORT ISABEL","TX","48001131003","100.9","Surface Disposal","","100.9","","","Class B"
